ts,row_type,session,participant,task,phase,block_id,ear,ear_base,ear_thr,blink_count,is_closed,long_close,gaze,gaze_thr,gaze_bias,gaze_offlvl,risk,alert,event,info
1763960356.6938403,frame,,,,train,,0.5123666757949924,0.5224129330679218,0.41793034645433746,33,False,False,-0.1804948652254641,0.35,-4.558595267414855,1.2379680162415926e-68,0.00857157000275017,0,,
1763960356.741546,frame,,,,train,,0.5125776518814994,0.5219211690086006,0.4175369352068805,33,False,False,-0.18043466025197397,0.35,-4.558595267414855,1.1141712146174334e-68,0.006000099001925119,0,,
1763960356.7737083,frame,,,,train,,0.5206570564689135,0.5218579633816163,0.41748637070529304,33,False,False,-0.18137029600127796,0.35,-4.558595267414855,1.00275409315569e-68,0.004200069301347583,0,,
1763960356.806129,frame,,,,train,,0.5242130304045871,0.5219757167327648,0.41758057338621185,33,False,False,-0.17154338115771317,0.35,-4.558595267414855,9.024786838401211e-69,0.002940048510943308,0,,
1763960356.8373778,frame,,,,train,,0.5287369232780705,0.52231377706003,0.417851021648024,33,False,False,-0.17279570882116513,0.35,-4.558595267414855,8.12230815456109e-69,0.0020580339576603155,0,,
1763960356.869625,frame,,,,train,,0.5283453507079976,0.5226153557424283,0.4180922845939427,33,False,False,-0.17269387886545395,0.35,-4.558595267414855,7.310077339104981e-69,0.0014406237703622209,0,,
1763960356.9006922,frame,,,,train,,0.5309045726960457,0.5230298165901092,0.41842385327208736,33,False,False,-0.1711562240098461,0.35,-4.558595267414855,6.579069605194482e-69,0.0010084366392535545,0,,
1763960356.9326622,frame,,,,train,,0.5356972375844523,0.5236631876398263,0.4189305501118611,33,False,False,-0.17345066601509807,0.35,-4.558595267414855,5.921162644675035e-69,0.0007059056474774881,0,,
1763960356.966565,frame,,,,train,,0.5313497813325122,0.5240475173244606,0.41923801385956855,33,False,False,-0.167461489949015,0.35,-4.558595267414855,5.329046380207531e-69,0.0004941339532342417,0,,
1763960356.9987588,frame,,,,train,,0.5295729021327547,0.5243237865648753,0.41945902925190026,33,False,False,-0.14345507591702056,0.35,-4.558595267414855,4.796141742186778e-69,0.00034589376726396916,0,,
1763960357.0300212,frame,,,,train,,0.5323151436750136,0.5247233544203822,0.41977868353630576,33,False,False,-0.13799039968347593,0.35,-4.558595267414855,4.3165275679681004e-69,0.0002421256370847784,0,,
1763960357.0623748,frame,,,,train,,0.5320193081709468,0.5250881521079105,0.4200705216863284,33,False,False,-0.13051378054494744,0.35,-4.558595267414855,3.8848748111712903e-69,0.00016948794595934486,0,,
1763960357.093443,frame,,,,train,,0.5292236892386711,0.5252949289644485,0.4202359431715588,33,False,False,-0.12846748765285998,0.35,-4.558595267414855,3.496387330054161e-69,0.00011864156217154139,0,,
1763960357.14331,frame,,,,train,,0.5290464112154694,0.5254825030769995,0.42038600246159963,33,False,False,-0.12610200525654935,0.35,-4.558595267414855,3.146748597048745e-69,8.304909352007897e-05,0,,
1763960357.1730762,frame,,,,train,,0.5310090404069441,0.5257588299434967,0.42060706395479736,33,False,False,-0.13109612180625696,0.35,-4.558595267414855,2.832073737343871e-69,5.8134365464055275e-05,0,,
1763960357.206704,frame,,,,train,,0.5264232119679765,0.5258526229811888,0.4206820983849511,33,False,False,-0.1310796335545099,0.35,-4.558595267414855,2.5488663636094837e-69,4.069405582483869e-05,0,,
1763960357.2378733,frame,,,,train,,0.5280019521512914,0.525960089439694,0.4207680715517552,33,False,False,-0.13158463333698656,0.35,-4.558595267414855,2.2939797272485355e-69,2.848583907738708e-05,0,,
1763960357.269504,frame,,,,train,,0.5289467545867524,0.5261094226970469,0.4208875381576375,33,False,False,-0.13567955537469434,0.35,-4.558595267414855,2.064581754523682e-69,1.9940087354170954e-05,0,,
1763960357.3007967,frame,,,,train,,0.5267260913647084,0.5261894470881557,0.4209515576705246,33,False,False,-0.15777163059351906,0.35,-4.558595267414855,1.8581235790713138e-69,1.3958061147919667e-05,0,,
1763960357.3338277,frame,,,,train,,0.5326400240606854,0.5265119759367822,0.4212095807494258,33,False,False,-0.16929334952635422,0.35,-4.558595267414855,1.6723112211641824e-69,9.770642803543766e-06,0,,
1763960357.3657887,frame,,,,train,,0.5296868669633844,0.5266707204881123,0.4213365763904898,33,False,False,-0.17884353353135385,0.35,-4.558595267414855,1.505080099047764e-69,6.839449962480636e-06,0,,
1763960357.3990378,frame,,,,train,,0.5364745309136479,0.527160911009389,0.4217287288075112,33,False,False,-0.17573528453498355,0.35,-4.558595267414855,1.3545720891429877e-69,4.787614973736445e-06,0,,
1763960357.4295034,frame,,,,train,,0.538285372907499,0.5277171341042944,0.42217370728343556,33,False,False,-0.17555590343317817,0.35,-4.558595267414855,1.219114880228689e-69,3.3513304816155112e-06,0,,
1763960357.4624507,frame,,,,train,,0.5349600664323657,0.528079280720698,0.4224634245765584,33,False,False,-0.17303424578164162,0.35,-4.558595267414855,1.09720339220582e-69,2.3459313371308576e-06,0,,
